Class;fClass;A00Amount;A00Amount100;A01Duration;A02Age;A03IRP;A04ResDur;A05NumExCred;A06NumPeopMaint;A07Teleph;A08FrgnWork;A09CheckAccStat;A10History;A11Purpose;A12Savings;A13EmployDurat;A14Personal;A15Gender;A16OtherDebtGuar;A17Property;A18OtherInstallPlan;A19Housing;A20Job;fA07Teleph;fA08FrgnWork;fA09CheckAccStat;fA10History;fA11Purpose;fA12Savings;fA13EmployDurat;fA14Personal;fA15Gender;fA16OtherDebtGuar;fA17Property;fA18OtherInstallPlan;fA19Housing;fA20Job;Training
0;Good;1595;15,95;6;51;3;2;1;2;0;1;0;2;3;0;3;2;1;0;1;2;1;2;No;Yes;No;existing credits paid back duly till now;radio/TV;<100;[4,7);male: single;male;none;building society savings agreement/life insurance;none;own;skilled employee/official;0
1;Bad;4605;46,05;48;24;3;4;2;2;0;1;1;0;1;0;4;2;1;0;3;2;2;2;No;Yes;<0;no credits taken/all credits paid back duly;car (used);<100;>=7;male: single;male;none;unknown/no property;none;for free;skilled employee/official;1
0;Good;1185;11,85;12;27;3;2;2;1;0;1;0;4;8;0;2;0;0;0;0;2;1;2;No;Yes;No;critical account/other credits existing (not at this bank);business;<100;[1,4);female;female;none;real estate;none;own;skilled employee/official;0
0;Good;3447;34,47;12;35;4;3;1;2;0;1;0;1;7;2;2;0;0;0;0;2;1;1;No;Yes;No;all credits at this bank paid back duly;retraining;[500,1000);[1,4);female;female;none;real estate;none;own;unskilled, resident;1
0;Good;1258;12,58;24;25;4;1;1;1;1;1;0;2;8;0;3;2;1;0;0;2;1;2;Yes;Yes;No;existing credits paid back duly till now;business;<100;[4,7);male: single;male;none;real estate;none;own;skilled employee/official;1
0;Good;717;7,17;12;52;4;4;3;1;0;1;0;4;3;0;4;2;1;0;0;2;1;2;No;Yes;No;critical account/other credits existing (not at this bank);radio/TV;<100;>=7;male: single;male;none;real estate;none;own;skilled employee/official;1
0;Good;1204;12,04;6;35;4;1;1;1;0;0;0;0;0;1;2;2;1;0;3;0;0;2;No;No;No;no credits taken/all credits paid back duly;car (new);[100,500);[1,4);male: single;male;none;unknown/no property;bank;rent;skilled employee/official;0
0;Good;1925;19,25;24;26;2;2;1;1;0;1;3;2;2;0;2;2;1;0;0;2;1;2;No;Yes;>=200;existing credits paid back duly till now;furniture/equipment;<100;[1,4);male: single;male;none;real estate;none;own;skilled employee/official;1
1;Bad;433;4,33;18;22;3;4;1;1;0;1;0;2;3;0;0;0;0;1;0;2;0;2;No;Yes;No;existing credits paid back duly till now;radio/TV;<100;unemployed;female;female;co-applicant;real estate;none;rent;skilled employee/official;0
0;Good;666;6,66;6;39;3;4;2;1;1;1;1;4;0;3;3;0;0;0;0;2;1;1;Yes;Yes;<0;critical account/other credits existing (not at this bank);car (new);>=1000;[4,7);female;female;none;real estate;none;own;unskilled, resident;1
0;Good;2251;22,51;12;46;1;2;1;1;0;1;3;2;2;0;2;0;0;0;2;2;1;1;No;Yes;>=200;existing credits paid back duly till now;furniture/equipment;<100;[1,4);female;female;none;car or other;none;own;unskilled, resident;0
1;Bad;2150;21,5;30;24;4;2;1;1;0;1;2;2;0;0;2;0;0;2;3;0;1;2;No;Yes;[0, 200);existing credits paid back duly till now;car (new);<100;[1,4);female;female;guarantor;unknown/no property;bank;own;skilled employee/official;0
0;Good;4151;41,51;24;35;2;3;2;1;0;1;0;3;2;1;2;2;1;0;1;2;1;2;No;Yes;No;delay in paying off in the past;furniture/equipment;[100,500);[1,4);male: single;male;none;building society savings agreement/life insurance;none;own;skilled employee/official;0
0;Good;2030;20,3;9;24;2;1;1;1;1;1;2;2;2;4;3;2;1;0;2;2;1;2;Yes;Yes;[0, 200);existing credits paid back duly till now;furniture/equipment;unknown/no savings account;[4,7);male: single;male;none;car or other;none;own;skilled employee/official;1
0;Good;7418;74,18;60;27;1;1;1;1;0;1;2;3;3;4;2;2;1;0;0;2;1;1;No;Yes;[0, 200);delay in paying off in the past;radio/TV;unknown/no savings account;[1,4);male: single;male;none;real estate;none;own;unskilled, resident;0
0;Good;2684;26,84;24;35;4;2;2;1;0;1;0;4;3;0;2;2;1;0;0;2;1;1;No;Yes;No;critical account/other credits existing (not at this bank);radio/TV;<100;[1,4);male: single;male;none;real estate;none;own;unskilled, resident;1
1;Bad;2149;21,49;12;29;4;1;1;1;0;1;1;1;3;0;2;1;1;0;3;2;2;2;No;Yes;<0;all credits at this bank paid back duly;radio/TV;<100;[1,4);male: divorced/separated;male;none;unknown/no property;none;for free;skilled employee/official;1
0;Good;3812;38,12;15;23;1;4;1;1;1;1;0;2;1;1;1;0;0;0;2;2;1;2;Yes;Yes;No;existing credits paid back duly till now;car (used);[100,500);<1;female;female;none;car or other;none;own;skilled employee/official;1
0;Good;1154;11,54;11;57;4;4;3;1;0;1;0;4;3;1;0;0;0;0;0;2;1;1;No;Yes;No;critical account/other credits existing (not at this bank);radio/TV;[100,500);unemployed;female;female;none;real estate;none;own;unskilled, resident;1
0;Good;1657;16,57;12;27;2;2;1;1;0;1;1;2;2;0;2;2;1;0;0;2;1;2;No;Yes;<0;existing credits paid back duly till now;furniture/equipment;<100;[1,4);male: single;male;none;real estate;none;own;skilled employee/official;1
0;Good;1603;16,03;24;55;4;4;1;1;0;1;1;2;3;0;4;0;0;0;2;2;1;2;No;Yes;<0;existing credits paid back duly till now;radio/TV;<100;>=7;female;female;none;car or other;none;own;skilled employee/official;0
0;Good;5302;53,02;18;36;2;4;3;1;1;1;1;4;0;0;4;2;1;0;3;2;2;3;Yes;Yes;<0;critical account/other credits existing (not at this bank);car (new);<100;>=7;male: single;male;none;unknown/no property;none;for free;management/self-employed/highly qualified employee/officer;0
0;Good;2748;27,48;12;57;2;4;3;1;0;1;0;4;6;0;4;0;0;0;3;0;2;1;No;Yes;No;critical account/other credits existing (not at this bank);education;<100;>=7;female;female;none;unknown/no property;bank;for free;unskilled, resident;1
0;Good;1231;12,31;10;32;3;4;2;2;0;0;0;4;0;0;4;2;1;0;0;2;1;1;No;No;No;critical account/other credits existing (not at this bank);car (new);<100;>=7;male: single;male;none;real estate;none;own;unskilled, resident;0
1;Bad;802;8,02;15;37;4;3;1;2;0;1;2;2;3;0;4;2;1;0;2;2;1;2;No;Yes;[0, 200);existing credits paid back duly till now;radio/TV;<100;>=7;male: single;male;none;car or other;none;own;skilled employee/official;1
0;Good;6304;63,04;36;36;4;4;2;1;0;1;0;4;8;4;4;2;1;0;0;2;1;2;No;Yes;No;critical account/other credits existing (not at this bank);business;unknown/no savings account;>=7;male: single;male;none;real estate;none;own;skilled employee/official;1
0;Good;1533;15,33;24;38;4;3;1;1;1;1;0;2;3;0;1;0;0;0;2;1;1;2;Yes;Yes;No;existing credits paid back duly till now;radio/TV;<100;<1;female;female;none;car or other;stores;own;skilled employee/official;1
1;Bad;8978;89,78;14;45;1;4;1;1;1;0;1;2;0;0;4;1;1;0;1;2;1;3;Yes;No;<0;existing credits paid back duly till now;car (new);<100;>=7;male: divorced/separated;male;none;building society savings agreement/life insurance;none;own;management/self-employed/highly qualified employee/officer;0
0;Good;999;9,99;24;25;4;2;2;1;0;1;0;2;3;4;4;2;1;0;2;2;1;2;No;Yes;No;existing credits paid back duly till now;radio/TV;unknown/no savings account;>=7;male: single;male;none;car or other;none;own;skilled employee/official;1
0;Good;2662;26,62;18;32;4;3;1;1;0;0;0;2;0;4;3;2;1;0;1;2;1;2;No;No;No;existing credits paid back duly till now;car (new);unknown/no savings account;[4,7);male: single;male;none;building society savings agreement/life insurance;none;own;skilled employee/official;1
0;Good;1402;14,02;12;37;3;4;1;1;1;1;0;4;2;2;3;0;0;0;2;2;0;2;Yes;Yes;No;critical account/other credits existing (not at this bank);furniture/equipment;[500,1000);[4,7);female;female;none;car or other;none;rent;skilled employee/official;0
0;Good;12169;121,69;48;36;4;4;1;1;1;1;2;1;0;4;0;2;1;1;3;2;2;3;Yes;Yes;[0, 200);all credits at this bank paid back duly;car (new);unknown/no savings account;unemployed;male: single;male;co-applicant;unknown/no property;none;for free;management/self-employed/highly qualified employee/officer;0
1;Bad;3060;30,6;48;28;4;4;2;1;0;1;2;2;3;0;3;2;1;0;0;2;1;2;No;Yes;[0, 200);existing credits paid back duly till now;radio/TV;<100;[4,7);male: single;male;none;real estate;none;own;skilled employee/official;0
1;Bad;11998;119,98;30;34;1;1;1;1;1;1;1;2;5;0;1;1;1;0;3;2;1;1;Yes;Yes;<0;existing credits paid back duly till now;repairs;<100;<1;male: divorced/separated;male;none;unknown/no property;none;own;unskilled, resident;1
0;Good;2697;26,97;9;32;1;2;1;2;0;1;0;2;3;0;2;2;1;0;0;2;1;2;No;Yes;No;existing credits paid back duly till now;radio/TV;<100;[1,4);male: single;male;none;real estate;none;own;skilled employee/official;1
0;Good;2404;24,04;18;26;2;2;2;1;0;1;0;4;3;0;2;0;0;0;2;2;1;2;No;Yes;No;critical account/other credits existing (not at this bank);radio/TV;<100;[1,4);female;female;none;car or other;none;own;skilled employee/official;0
0;Good;1262;12,62;12;49;2;4;1;1;1;1;1;2;2;4;4;1;1;0;1;2;1;1;Yes;Yes;<0;existing credits paid back duly till now;furniture/equipment;unknown/no savings account;>=7;male: divorced/separated;male;none;building society savings agreement/life insurance;none;own;unskilled, resident;1
1;Bad;4611;46,11;6;32;1;4;1;1;0;1;0;2;2;0;1;0;0;0;1;2;1;2;No;Yes;No;existing credits paid back duly till now;furniture/equipment;<100;<1;female;female;none;building society savings agreement/life insurance;none;own;skilled employee/official;0
0;Good;1901;19,01;24;29;4;4;1;1;1;1;0;2;3;1;2;2;1;0;2;2;0;3;Yes;Yes;No;existing credits paid back duly till now;radio/TV;[100,500);[1,4);male: single;male;none;car or other;none;rent;management/self-employed/highly qualified employee/officer;1
0;Good;3368;33,68;15;23;3;4;2;1;1;1;0;4;1;3;4;2;1;0;3;2;0;2;Yes;Yes;No;critical account/other credits existing (not at this bank);car (used);>=1000;>=7;male: single;male;none;unknown/no property;none;rent;skilled employee/official;0
0;Good;1574;15,74;12;50;4;2;1;1;0;1;0;2;2;0;2;2;1;0;0;2;1;2;No;Yes;No;existing credits paid back duly till now;furniture/equipment;<100;[1,4);male: single;male;none;real estate;none;own;skilled employee/official;1
0;Good;1445;14,45;18;49;4;4;1;1;0;1;3;1;3;4;3;2;1;0;2;0;1;1;No;Yes;>=200;all credits at this bank paid back duly;radio/TV;unknown/no savings account;[4,7);male: single;male;none;car or other;bank;own;unskilled, resident;1
0;Good;1520;15,2;15;63;4;4;1;1;0;1;0;4;2;4;4;2;1;0;1;2;1;2;No;Yes;No;critical account/other credits existing (not at this bank);furniture/equipment;unknown/no savings account;>=7;male: single;male;none;building society savings agreement/life insurance;none;own;skilled employee/official;1
0;Good;3878;38,78;24;37;4;2;1;1;1;1;2;4;0;1;1;1;1;0;2;2;1;2;Yes;Yes;[0, 200);critical account/other credits existing (not at this bank);car (new);[100,500);<1;male: divorced/separated;male;none;car or other;none;own;skilled employee/official;0
0;Good;10722;107,22;47;35;1;1;1;1;1;1;1;2;0;0;1;0;0;0;0;2;1;1;Yes;Yes;<0;existing credits paid back duly till now;car (new);<100;<1;female;female;none;real estate;none;own;unskilled, resident;0
0;Good;4788;47,88;48;26;4;3;1;2;0;1;1;2;1;0;3;2;1;0;1;2;1;2;No;Yes;<0;existing credits paid back duly till now;car (used);<100;[4,7);male: single;male;none;building society savings agreement/life insurance;none;own;skilled employee/official;0
0;Good;7582;75,82;48;31;2;4;1;1;1;1;2;3;9;1;0;2;1;0;3;2;2;3;Yes;Yes;[0, 200);delay in paying off in the past;others;[100,500);unemployed;male: single;male;none;unknown/no property;none;for free;management/self-employed/highly qualified employee/officer;1
0;Good;1092;10,92;12;49;4;4;2;1;1;1;2;2;3;0;2;0;0;2;0;2;1;2;Yes;Yes;[0, 200);existing credits paid back duly till now;radio/TV;<100;[1,4);female;female;guarantor;real estate;none;own;skilled employee/official;0
1;Bad;1024;10,24;24;48;4;4;1;1;0;1;1;3;3;0;1;3;1;0;0;1;1;2;No;Yes;<0;delay in paying off in the past;radio/TV;<100;<1;male: married/widowed;male;none;real estate;stores;own;skilled employee/official;0
0;Good;1076;10,76;12;26;2;2;1;1;1;0;0;2;8;0;2;3;1;0;0;2;1;2;Yes;No;No;existing credits paid back duly till now;business;<100;[1,4);male: married/widowed;male;none;real estate;none;own;skilled employee/official;1
1;Bad;9398;93,98;36;28;1;4;1;1;1;1;2;2;1;0;1;3;1;0;2;2;0;3;Yes;Yes;[0, 200);existing credits paid back duly till now;car (used);<100;<1;male: married/widowed;male;none;car or other;none;rent;management/self-employed/highly qualified employee/officer;1
0;Good;6419;64,19;24;44;2;4;2;2;1;1;1;4;1;0;4;0;0;0;3;2;2;3;Yes;Yes;<0;critical account/other credits existing (not at this bank);car (used);<100;>=7;female;female;none;unknown/no property;none;for free;management/self-employed/highly qualified employee/officer;1
0;Good;4796;47,96;42;56;4;4;1;1;0;1;3;4;1;0;4;2;1;0;3;2;2;2;No;Yes;>=200;critical account/other credits existing (not at this bank);car (used);<100;>=7;male: single;male;none;unknown/no property;none;for free;skilled employee/official;1
0;Good;7629;76,29;48;46;4;2;2;2;0;1;0;4;8;4;4;1;1;0;2;0;1;3;No;Yes;No;critical account/other credits existing (not at this bank);business;unknown/no savings account;>=7;male: divorced/separated;male;none;car or other;bank;own;management/self-employed/highly qualified employee/officer;0
1;Bad;9960;99,6;48;26;1;2;1;1;1;1;2;2;2;0;1;0;0;0;2;2;1;2;Yes;Yes;[0, 200);existing credits paid back duly till now;furniture/equipment;<100;<1;female;female;none;car or other;none;own;skilled employee/official;1
0;Good;4675;46,75;12;20;1;4;1;1;0;1;0;2;1;4;1;0;0;0;2;2;0;2;No;Yes;No;existing credits paid back duly till now;car (used);unknown/no savings account;<1;female;female;none;car or other;none;rent;skilled employee/official;0
0;Good;1287;12,87;10;45;4;2;1;1;0;0;0;2;0;4;4;2;1;1;1;2;1;1;No;No;No;existing credits paid back duly till now;car (new);unknown/no savings account;>=7;male: single;male;co-applicant;building society savings agreement/life insurance;none;own;unskilled, resident;1
0;Good;2515;25,15;18;43;3;4;1;1;1;1;0;2;2;0;2;2;1;0;0;2;1;2;Yes;Yes;No;existing credits paid back duly till now;furniture/equipment;<100;[1,4);male: single;male;none;real estate;none;own;skilled employee/official;1
0;Good;2745;27,45;21;32;3;2;2;1;1;1;2;4;2;3;3;2;1;0;2;2;1;2;Yes;Yes;[0, 200);critical account/other credits existing (not at this bank);furniture/equipment;>=1000;[4,7);male: single;male;none;car or other;none;own;skilled employee/official;0
0;Good;672;6,72;6;54;1;4;1;1;1;1;0;2;0;0;0;0;0;0;0;2;1;0;Yes;Yes;No;existing credits paid back duly till now;car (new);<100;unemployed;female;female;none;real estate;none;own;unemployed/unskilled, non-resident;0
1;Bad;3804;38,04;36;42;4;1;1;1;1;1;2;0;3;0;2;0;0;0;2;2;1;2;Yes;Yes;[0, 200);no credits taken/all credits paid back duly;radio/TV;<100;[1,4);female;female;none;car or other;none;own;skilled employee/official;1
1;Bad;1344;13,44;24;37;4;2;2;2;0;1;3;4;0;4;3;2;1;0;0;0;1;1;No;Yes;>=200;critical account/other credits existing (not at this bank);car (new);unknown/no savings account;[4,7);male: single;male;none;real estate;bank;own;unskilled, resident;0
0;Good;1038;10,38;10;49;4;3;2;1;1;1;1;4;0;0;3;2;1;1;1;2;1;2;Yes;Yes;<0;critical account/other credits existing (not at this bank);car (new);<100;[4,7);male: single;male;co-applicant;building society savings agreement/life insurance;none;own;skilled employee/official;0
1;Bad;10127;101,27;48;44;2;2;1;1;0;1;0;4;0;2;2;2;1;0;3;0;2;2;No;Yes;No;critical account/other credits existing (not at this bank);car (new);[500,1000);[1,4);male: single;male;none;unknown/no property;bank;for free;skilled employee/official;0
0;Good;1543;15,43;6;33;4;2;1;1;0;1;0;2;2;3;2;1;1;0;0;2;1;2;No;Yes;No;existing credits paid back duly till now;furniture/equipment;>=1000;[1,4);male: divorced/separated;male;none;real estate;none;own;skilled employee/official;0
0;Good;4811;48,11;30;24;2;4;1;1;0;1;0;2;1;4;3;0;0;0;1;1;0;1;No;Yes;No;existing credits paid back duly till now;car (used);unknown/no savings account;[4,7);female;female;none;building society savings agreement/life insurance;stores;rent;unskilled, resident;1
1;Bad;727;7,27;12;33;4;3;1;1;1;1;1;2;3;1;1;3;1;0;3;2;1;1;Yes;Yes;<0;existing credits paid back duly till now;radio/TV;[100,500);<1;male: married/widowed;male;none;unknown/no property;none;own;unskilled, resident;0
1;Bad;1237;12,37;8;24;3;4;1;1;0;1;2;2;2;0;2;0;0;0;0;2;1;2;No;Yes;[0, 200);existing credits paid back duly till now;furniture/equipment;<100;[1,4);female;female;none;real estate;none;own;skilled employee/official;1
0;Good;276;2,76;9;22;4;4;1;1;0;1;2;2;0;0;2;3;1;0;0;2;0;1;No;Yes;[0, 200);existing credits paid back duly till now;car (new);<100;[1,4);male: married/widowed;male;none;real estate;none;rent;unskilled, resident;0
0;Good;5381;53,81;48;40;3;4;1;1;1;1;2;2;9;4;0;2;1;0;3;0;2;0;Yes;Yes;[0, 200);existing credits paid back duly till now;others;unknown/no savings account;unemployed;male: single;male;none;unknown/no property;bank;for free;unemployed/unskilled, non-resident;1
0;Good;5511;55,11;24;25;4;1;1;1;0;1;0;2;2;1;2;2;1;0;2;1;1;2;No;Yes;No;existing credits paid back duly till now;furniture/equipment;[100,500);[1,4);male: single;male;none;car or other;stores;own;skilled employee/official;0
0;Good;3749;37,49;24;26;2;4;1;1;0;1;3;2;2;0;1;0;0;0;2;2;1;2;No;Yes;>=200;existing credits paid back duly till now;furniture/equipment;<100;<1;female;female;none;car or other;none;own;skilled employee/official;0
1;Bad;685;6,85;12;25;2;3;1;1;0;1;2;2;0;0;3;3;1;0;2;0;1;1;No;Yes;[0, 200);existing credits paid back duly till now;car (new);<100;[4,7);male: married/widowed;male;none;car or other;bank;own;unskilled, resident;0
0;Good;1494;14,94;4;29;1;2;1;2;0;0;3;2;0;4;1;2;1;0;0;2;1;1;No;No;>=200;existing credits paid back duly till now;car (new);unknown/no savings account;<1;male: single;male;none;real estate;none;own;unskilled, resident;1
1;Bad;2746;27,46;36;31;4;4;1;1;0;1;1;1;2;0;4;2;1;0;2;0;1;2;No;Yes;<0;all credits at this bank paid back duly;furniture/equipment;<100;>=7;male: single;male;none;car or other;bank;own;skilled employee/official;1
0;Good;708;7,08;12;38;2;3;1;2;0;1;1;2;2;0;2;2;1;2;1;2;1;1;No;Yes;<0;existing credits paid back duly till now;furniture/equipment;<100;[1,4);male: single;male;guarantor;building society savings agreement/life insurance;none;own;unskilled, resident;1
0;Good;4351;43,51;24;48;1;4;1;1;1;1;2;2;2;4;2;0;0;0;1;2;1;1;Yes;Yes;[0, 200);existing credits paid back duly till now;furniture/equipment;unknown/no savings account;[1,4);female;female;none;building society savings agreement/life insurance;none;own;unskilled, resident;0
0;Good;701;7,01;12;32;4;2;2;1;0;1;0;4;6;0;2;2;1;0;2;2;1;2;No;Yes;No;critical account/other credits existing (not at this bank);education;<100;[1,4);male: single;male;none;car or other;none;own;skilled employee/official;0
0;Good;3643;36,43;15;27;1;4;2;1;0;1;1;3;2;0;4;0;0;0;1;2;1;1;No;Yes;<0;delay in paying off in the past;furniture/equipment;<100;>=7;female;female;none;building society savings agreement/life insurance;none;own;unskilled, resident;0
1;Bad;4249;42,49;30;28;4;2;2;1;0;1;2;4;0;0;0;3;1;0;2;2;1;3;No;Yes;[0, 200);critical account/other credits existing (not at this bank);car (new);<100;unemployed;male: married/widowed;male;none;car or other;none;own;management/self-employed/highly qualified employee/officer;1
1;Bad;1938;19,38;24;32;4;3;1;1;0;1;1;2;3;0;1;1;1;0;1;2;1;2;No;Yes;<0;existing credits paid back duly till now;radio/TV;<100;<1;male: divorced/separated;male;none;building society savings agreement/life insurance;none;own;skilled employee/official;1
0;Good;2910;29,1;24;34;2;1;1;1;1;1;1;2;1;0;3;2;1;0;3;2;2;3;Yes;Yes;<0;existing credits paid back duly till now;car (used);<100;[4,7);male: single;male;none;unknown/no property;none;for free;management/self-employed/highly qualified employee/officer;1
0;Good;2659;26,59;18;28;4;2;1;1;0;1;1;2;2;3;2;2;1;0;2;2;1;2;No;Yes;<0;existing credits paid back duly till now;furniture/equipment;>=1000;[1,4);male: single;male;none;car or other;none;own;skilled employee/official;1
0;Good;1028;10,28;18;36;4;3;2;1;0;1;0;4;0;0;2;0;0;0;0;2;1;2;No;Yes;No;critical account/other credits existing (not at this bank);car (new);<100;[1,4);female;female;none;real estate;none;own;skilled employee/official;0
0;Good;3398;33,98;8;39;1;4;2;1;0;0;1;4;0;0;3;2;1;0;0;2;1;1;No;No;<0;critical account/other credits existing (not at this bank);car (new);<100;[4,7);male: single;male;none;real estate;none;own;unskilled, resident;0
0;Good;5801;58,01;12;49;2;4;1;1;1;1;0;4;2;4;4;2;1;0;1;2;0;2;Yes;Yes;No;critical account/other credits existing (not at this bank);furniture/equipment;unknown/no savings account;>=7;male: single;male;none;building society savings agreement/life insurance;none;rent;skilled employee/official;1
0;Good;1525;15,25;24;34;4;3;1;2;1;1;0;2;0;3;3;0;0;0;2;2;1;2;Yes;Yes;No;existing credits paid back duly till now;car (new);>=1000;[4,7);female;female;none;car or other;none;own;skilled employee/official;1
0;Good;4473;44,73;36;31;4;2;1;1;0;1;3;2;3;0;4;2;1;0;2;2;1;2;No;Yes;>=200;existing credits paid back duly till now;radio/TV;<100;>=7;male: single;male;none;car or other;none;own;skilled employee/official;0
0;Good;1068;10,68;6;28;4;4;1;2;0;1;2;2;3;0;4;2;1;0;2;2;1;2;No;Yes;[0, 200);existing credits paid back duly till now;radio/TV;<100;>=7;male: single;male;none;car or other;none;own;skilled employee/official;0
0;Good;6615;66,15;24;75;2;4;2;1;1;1;1;4;1;0;0;2;1;0;3;2;2;3;Yes;Yes;<0;critical account/other credits existing (not at this bank);car (used);<100;unemployed;male: single;male;none;unknown/no property;none;for free;management/self-employed/highly qualified employee/officer;0
1;Bad;1864;18,64;18;30;4;2;2;1;0;1;0;4;6;1;2;0;0;0;0;2;1;2;No;Yes;No;critical account/other credits existing (not at this bank);education;[100,500);[1,4);female;female;none;real estate;none;own;skilled employee/official;1
1;Bad;7408;74,08;60;24;4;2;1;1;0;1;2;2;0;1;1;0;0;0;1;2;1;3;No;Yes;[0, 200);existing credits paid back duly till now;car (new);[100,500);<1;female;female;none;building society savings agreement/life insurance;none;own;management/self-employed/highly qualified employee/officer;0
1;Bad;11590;115,9;48;24;2;4;2;1;0;1;0;4;1;1;2;0;0;0;2;0;0;1;No;Yes;No;critical account/other credits existing (not at this bank);car (used);[100,500);[1,4);female;female;none;car or other;bank;rent;unskilled, resident;1
1;Bad;4110;41,1;24;23;3;4;2;2;0;1;1;0;2;0;4;2;1;0;3;0;0;2;No;Yes;<0;no credits taken/all credits paid back duly;furniture/equipment;<100;>=7;male: single;male;none;unknown/no property;bank;rent;skilled employee/official;1
1;Bad;3384;33,84;6;44;1;4;1;1;1;1;1;4;2;0;2;1;1;0;0;2;0;3;Yes;Yes;<0;critical account/other credits existing (not at this bank);furniture/equipment;<100;[1,4);male: divorced/separated;male;none;real estate;none;rent;management/self-employed/highly qualified employee/officer;0
0;Good;2101;21,01;13;23;2;4;1;1;0;1;2;2;3;0;1;0;0;2;1;2;1;1;No;Yes;[0, 200);existing credits paid back duly till now;radio/TV;<100;<1;female;female;guarantor;building society savings agreement/life insurance;none;own;unskilled, resident;1
1;Bad;1275;12,75;15;24;4;2;1;1;0;1;1;2;4;4;2;0;0;0;2;2;0;2;No;Yes;<0;existing credits paid back duly till now;domestic appliances;unknown/no savings account;[1,4);female;female;none;car or other;none;rent;skilled employee/official;0
0;Good;4169;41,69;24;28;4;4;1;1;0;1;1;2;2;0;2;2;1;0;1;2;1;2;No;Yes;<0;existing credits paid back duly till now;furniture/equipment;<100;[1,4);male: single;male;none;building society savings agreement/life insurance;none;own;skilled employee/official;0
0;Good;1521;15,21;10;31;4;2;1;1;0;1;2;2;2;0;2;1;1;0;2;2;1;1;No;Yes;[0, 200);existing credits paid back duly till now;furniture/equipment;<100;[1,4);male: divorced/separated;male;none;car or other;none;own;unskilled, resident;0
0;Good;5743;57,43;24;24;2;4;2;1;1;1;2;4;6;0;1;0;0;0;3;2;2;2;Yes;Yes;[0, 200);critical account/other credits existing (not at this bank);education;<100;<1;female;female;none;unknown/no property;none;for free;skilled employee/official;0
0;Good;3599;35,99;21;26;1;4;1;1;0;1;1;2;2;0;3;0;0;0;2;2;0;1;No;Yes;<0;existing credits paid back duly till now;furniture/equipment;<100;[4,7);female;female;none;car or other;none;rent;unskilled, resident;0
0;Good;3213;32,13;18;25;1;3;1;1;0;1;2;2;3;2;1;3;1;0;0;2;0;2;No;Yes;[0, 200);existing credits paid back duly till now;radio/TV;[500,1000);<1;male: married/widowed;male;none;real estate;none;rent;skilled employee/official;0
0;Good;4439;44,39;18;33;1;1;1;1;1;1;2;2;8;0;4;2;1;1;0;0;1;3;Yes;Yes;[0, 200);existing credits paid back duly till now;business;<100;>=7;male: single;male;co-applicant;real estate;bank;own;management/self-employed/highly qualified employee/officer;1
0;Good;3949;39,49;10;37;1;1;1;2;0;1;3;2;0;0;1;2;1;2;1;2;1;1;No;Yes;>=200;existing credits paid back duly till now;car (new);<100;<1;male: single;male;guarantor;building society savings agreement/life insurance;none;own;unskilled, resident;0
0;Good;1459;14,59;15;43;4;2;1;1;0;1;0;4;3;0;2;0;0;0;2;2;1;1;No;Yes;No;critical account/other credits existing (not at this bank);radio/TV;<100;[1,4);female;female;none;car or other;none;own;unskilled, resident;0
0;Good;882;8,82;13;23;4;4;2;1;0;1;2;4;3;0;1;2;1;2;0;2;1;2;No;Yes;[0, 200);critical account/other credits existing (not at this bank);radio/TV;<100;<1;male: single;male;guarantor;real estate;none;own;skilled employee/official;1
0;Good;3758;37,58;24;23;1;4;1;1;0;1;2;2;3;2;0;0;0;0;3;2;0;0;No;Yes;[0, 200);existing credits paid back duly till now;radio/TV;[500,1000);unemployed;female;female;none;unknown/no property;none;rent;unemployed/unskilled, non-resident;0
0;Good;1743;17,43;6;34;1;2;2;1;0;1;0;3;8;1;2;2;1;0;0;2;1;1;No;Yes;No;delay in paying off in the past;business;[100,500);[1,4);male: single;male;none;real estate;none;own;unskilled, resident;0
1;Bad;1136;11,36;9;32;4;3;2;2;0;1;2;4;6;3;4;2;1;0;3;2;2;2;No;Yes;[0, 200);critical account/other credits existing (not at this bank);education;>=1000;>=7;male: single;male;none;unknown/no property;none;for free;skilled employee/official;1
0;Good;1236;12,36;9;23;1;4;1;1;1;1;0;2;4;0;1;0;0;0;0;2;0;2;Yes;Yes;No;existing credits paid back duly till now;domestic appliances;<100;<1;female;female;none;real estate;none;rent;skilled employee/official;1
1;Bad;959;9,59;9;29;1;2;1;1;0;0;2;2;2;0;2;0;0;0;2;2;1;2;No;No;[0, 200);existing credits paid back duly till now;furniture/equipment;<100;[1,4);female;female;none;car or other;none;own;skilled employee/official;0
0;Good;3229;32,29;18;38;2;4;1;1;1;1;0;4;1;4;0;2;1;0;3;2;1;3;Yes;Yes;No;critical account/other credits existing (not at this bank);car (used);unknown/no savings account;unemployed;male: single;male;none;unknown/no property;none;own;management/self-employed/highly qualified employee/officer;1
1;Bad;6199;61,99;12;28;4;2;2;1;1;1;1;0;3;0;2;2;1;0;1;2;0;2;Yes;Yes;<0;no credits taken/all credits paid back duly;radio/TV;<100;[1,4);male: single;male;none;building society savings agreement/life insurance;none;rent;skilled employee/official;0
